nameWithOwner,diskUsageKB,diskUsageMB,isPrivate,updatedAt,error
Radio-Memory/cefbot,1425527,1392.12,True,2024-06-10T21:04:10Z,
Radio-Memory/segmentacao-panoramica-tensorflow-artigo,306224,299.05,True,2023-03-02T00:21:17Z,
Radio-Memory/tomoservice,167604,163.68,True,2022-04-26T18:00:48Z,
fabioand/tomonav-mobile,76506,74.71,True,2026-03-18T01:02:59Z,
Radio-Memory/Realidade-Aumentada,69828,68.19,True,2023-03-16T16:15:17Z,
Radio-Memory/ia-demo,61985,60.53,True,2022-02-15T13:05:15Z,
Radio-Memory/RadioServer-Classificador,53849,52.59,True,2023-05-09T14:57:05Z,
Radio-Memory/radiomemory-ai-api-demo,35991,35.15,False,2024-01-12T14:06:04Z,
Radio-Memory/position-anomalies,24220,23.65,True,2023-03-01T20:29:02Z,
Radio-Memory/ai-api,16487,16.1,True,2022-11-04T18:48:29Z,
Radio-Memory/abaimpressao,15846,15.47,True,2022-08-29T14:47:12Z,
Radio-Memory/rmannotations_server,14744,14.4,True,2022-02-16T17:40:59Z,
Radio-Memory/rdn_extractor,13328,13.02,True,2023-11-01T13:11:02Z,
Radio-Memory/ai-api-lambda,12128,11.84,True,2026-01-16T14:39:58Z,
Radio-Memory/ai-training,10085,9.85,True,2024-08-29T15:29:41Z,
Radio-Memory/alinhamento_oclusais,6408,6.26,True,2023-04-27T19:21:51Z,
Radio-Memory/portal_api,5883,5.75,True,2025-07-14T14:09:14Z,
Radio-Memory/rmia,4126,4.03,True,2021-09-28T18:21:41Z,
Radio-Memory/Pearl,3905,3.81,True,2023-10-29T21:33:35Z,
Radio-Memory/ia-lambda,3444,3.36,True,2022-01-06T19:33:21Z,
Radio-Memory/lambda-docker-onnx,3024,2.95,True,2022-06-30T23:42:59Z,
Radio-Memory/kubernetes-deploy,2966,2.9,True,2022-10-11T17:51:21Z,
Radio-Memory/ngx-lazy-el,2946,2.88,False,2025-07-09T20:21:19Z,
Radio-Memory/dcm-converter,2717,2.65,True,2024-06-17T13:38:57Z,
